uid,ST1_GAP(eV)
test_382,1.0106635
test_383,1.1389058
test_384,0.18051974
test_385,0.4781605
test_386,1.0993316
test_387,0.3810526
test_388,1.1157744
test_389,0.54331183
test_390,1.0762064
test_391,1.3027074
test_392,0.5543648
test_393,1.0215935
test_394,0.9295657
test_395,1.503542
test_396,0.7842014
test_397,0.5760391
test_398,1.2018888
test_399,0.7060796
test_400,0.461661
test_401,0.96612006
test_402,0.42601913
test_403,1.2066349
test_404,0.8403167
test_405,1.0853771
test_406,0.9662362
test_407,0.4377185
test_408,0.9740023
test_409,1.0782535
test_410,0.89981467
test_411,1.0423965
test_412,0.7673234
test_413,0.9083462
test_414,1.0576227
test_415,0.43557572
test_416,0.6340871
test_417,1.0781698
test_418,0.99281245
test_419,1.2245667
test_420,0.5042681
test_421,1.0211371
test_422,0.95147544
test_423,1.0589507
test_424,0.7606592
test_425,1.0503099
test_426,0.50300616
test_427,0.8076126
test_428,1.0694549
test_429,0.8662798
test_430,0.82346106
test_431,0.49683267
test_432,0.6369071
test_433,1.1249619
test_434,0.8221501
test_435,1.3523238
test_436,1.0787926
test_437,1.2239133
test_438,0.7492697
test_439,0.9804502
test_440,0.49233127
test_441,0.8846863
test_442,0.96090525
test_443,0.88646495
test_444,1.4335415
test_445,0.9686015
test_446,0.5086522
test_447,1.1126795
test_448,0.61516726
test_449,0.6851928
test_450,0.87177896
test_451,0.9207541
test_452,0.9132481
test_453,0.3773873
test_454,0.9754694
test_455,0.50563085
test_456,0.8673219
test_457,1.0274754
test_458,1.0350018
test_459,1.939456
test_460,0.98216534
test_461,0.85970175
test_462,1.1599913
test_463,0.22600241
test_464,0.5592705
test_465,0.756747
test_466,1.4420731
test_467,0.06862798
test_468,1.0350308
test_469,0.69644445
test_470,1.1258898
test_471,0.9483107
test_472,0.60769135
test_473,0.7162173
test_474,0.7968025
test_475,1.0440061
test_476,0.97492963
test_477,0.90404636
test_478,1.049753
test_479,0.8157431
test_480,0.7628879
test_481,0.7598889
test_482,1.0384221
test_483,0.5231912
test_484,0.8813589
test_485,0.85317594
test_486,0.503651
test_487,0.26671886
test_488,0.9055835
test_489,0.990508
test_490,1.0074556
test_491,0.7746613
test_492,0.6477885
test_493,0.52858007
test_494,1.0940709
test_495,1.2461867
test_496,0.95522183
test_497,1.106184
test_498,0.86368316
test_499,0.4159221
test_500,0.9851664
test_501,0.8664449
test_502,0.12159626
test_503,0.14970106
test_504,0.04227075
test_505,-0.033421814
test_506,-0.014571518
test_507,0.05838713
test_508,0.10093893
test_509,0.10851455
test_510,0.042375356
test_511,0.03035149
test_512,0.13242325
test_513,-0.011290431
test_514,-0.016186029
test_515,0.06827915
test_516,0.010079384
test_517,0.025812328
test_518,-0.019522727
test_519,0.042571664
test_520,0.14385964
test_521,-0.01567334
test_522,0.037297398
test_523,0.010497004
test_524,0.040386975
test_525,0.2433711
test_526,0.3159299
test_527,0.56589746
test_528,-0.022493482
test_529,-0.026447415
test_530,0.0726172
test_531,-0.096678734
test_532,0.49002227
test_533,0.40587717
test_534,0.4538123
test_535,0.4128207
test_536,0.08930451
test_537,0.38432735
test_538,0.5211763
test_539,0.46163386
test_540,0.79800826
test_541,0.7787952
test_542,0.7377335
test_543,0.68492883
test_544,0.6822371
test_545,0.23501381
test_546,0.12843014
test_547,0.7965617
test_548,0.56755745
test_549,0.76450133
test_550,0.20902528
test_551,0.098310664
test_552,0.5063374
test_553,0.0456658
test_554,0.08835617
test_555,0.09869948
test_556,0.3000642
test_557,0.209912
test_558,0.22965193
test_559,0.20230912
test_560,0.14193143
test_561,-0.018686295
test_562,0.014962196
test_563,0.08708134
test_564,-0.036925644
test_565,-0.06463361
test_566,0.05624196
test_567,0.09713046
test_568,0.07020721
test_569,0.5486641
test_570,0.14343114
test_571,-0.06327587
test_572,0.12566452
test_573,0.10145767
test_574,-0.20160472
test_575,-0.007698089
test_576,0.1157282
test_577,0.11036983
test_578,-0.02695489
test_579,0.24023966
test_580,0.1390207
test_581,0.33782706
test_582,0.0075511932
test_583,-0.03888741
test_584,0.09327996
test_585,0.31842822
test_586,0.1444914
test_587,-0.08042237
test_588,0.07876736
test_589,0.5827442
test_590,0.6759267
test_591,-0.07083368
test_592,-0.063186765
test_593,0.15715136
test_594,0.1937425
test_595,0.17241211
test_596,0.17982526
test_597,0.103777945
test_598,0.009982139
test_599,0.0054110587
test_600,0.33242714
test_601,0.11681642
