uid,ST1_GAP(eV)
test_549,0.6313455
test_550,0.44049287
test_551,0.2099325
test_552,0.5326157
test_553,0.15542224
test_554,0.15456088
test_555,0.16180745
test_556,0.40393996
test_557,0.27128637
test_558,0.315161
test_559,0.34235162
test_560,0.30092862
test_561,0.037396252
test_562,0.05235088
test_563,0.14778255
test_564,0.03792712
test_565,0.019879788
test_566,0.0861958
test_567,0.0827982
test_568,0.21554273
test_569,0.4366531
test_570,0.21291369
test_571,0.0036884248
test_572,0.1724466
test_573,0.14081523
test_574,-0.095190525
test_575,0.11868851
test_576,0.16636628
test_577,0.16703115
test_578,0.02675721
test_579,0.38809627
test_580,0.21490252
test_581,0.4057338
test_582,0.066131055
test_583,0.04906717
test_584,0.1701449
test_585,0.64473975
test_586,0.2077167
test_587,0.01020813
test_588,0.14141852
test_589,0.8501321
test_590,0.9683219
test_591,0.0435178
test_592,0.03831786
test_593,0.046158582
test_594,0.23374817
test_595,0.3405838
test_596,0.12122862
test_597,0.16562396
test_598,0.044411063
test_599,0.032654583
test_600,0.32170165
test_601,0.0883681
